당기순이익	매출액	법인세차감전 순이익	영업이익
918578000000.0		1152740000000.0	
3067991000000.0		4041105000000.0	
928849000000.0		1220698000000.0	
1124946000000.0		1415558000000.0	
1049442000000.0		1365776000000.0	
3695913000000.0		4769937000000.0	
10068112569.0	306602589029.0	14539062374.0	11225780035.0
1841873359.0	74663350888.0	2834297898.0	2289249518.0
631075794.0	74928662506.0	417202042.0	865078361.0
233435524.0	74216993968.0	707018881.0	686087898.0
9393854731.0	307150025786.0	16607867985.0	9917746256.0
2258999556.0	67003673192.0	3268500733.0	2706892406.0
6719645353.0	69833296669.0	7070109178.0	6223347724.0
11755138890.0	66568206467.0	15851857307.0	7196989027.0
28715102080.0	272075383799.0	33638279859.0	23153371156.0
5510603248.0	71827235183.0	7688557946.0	5119344079.0
7039930999.0	75802350156.0	9739094924.0	7199614803.0
787996714.0	69071143577.0	2261542720.0	3664566950.0
19582802208.0	293018112028.0	26527288862.0	22496350976.0
5801167250.0	85294133984.0	7640959577.0	9053120555.0
6471107225.0	87218159367.0	9035201383.0	10093493075.0
6843467872.0	83455522549.0	9450742522.0	7419262990.0
21591210925.0	340426327300.0	23085548187.0	29915077882.0
12933680930.0	99419813769.0	16948768423.0	12182552140.0
7580362826.0	89990356416.0	10164149844.0	5464701378.0
6157135528.0	87457408861.0	8735933310.0	2694847894.0
28237045586.0	361108562008.0	36955579790.0	18775880121.0
2925025396.0	118885750294.0	4626669768.0	6538005157.0
3122056844.0	115162146532.0	5049400534.0	4613224826.0
2062766452.0	110193352389.0	963491301.0	582474956.0
2146096510.0	464874735245.0	6902379054.0	13411192945.0
820111000000.0		1112305000000.0	
2515080000000.0		3329434000000.0	
791989000000.0		1067607000000.0	
886828000000.0		1143132000000.0	
851824000000.0		1104217000000.0	
3046936000000.0		4008987000000.0	
16596448162.0	80658560018.0	16719734962.0	16055654584.0
3476060545.0	19790407579.0	3476060545.0	2729799243.0
348362749.0	29730868814.0	348362749.0	877783838.0
1885913965.0	25756009443.0	1885913965.0	787613179.0
4224756676.0	9610255757.0	4224756676.0	1303405915.0
6043291186.0	10913899676.0	6043291186.0	5842542672.0
4122195140.0	9759514820.0	4122195140.0	4171559587.0
31501347878.0	41661894646.0	38688163747.0	26031633437.0
3257117225.0	3301090973.0	3257117225.0	3106055804.0
5387176083.0	8593656922.0	5387176083.0	3300414535.0
4031990892.0	11738526518.0	4031990892.0	3108346216.0
24442080215.0	36563363388.0	24431116639.0	16257022695.0
5436023428.0	27484437306.0	5436023428.0	3116905039.0
3666126312.0	34374993603.0	3666126312.0	2294116938.0
5464444766.0	34004529035.0	5464444766.0	3785830905.0
41041685086.0	132579261122.0	40493805679.0	24650440438.0
850734958.0	28557572185.0	850734958.0	385985222.0
153202367.0	31205138670.0	104684597.0	756181109.0
1458811657.0	29082795781.0	1410380698.0	98645585.0
11486011938.0	117834375061.0	11386267112.0	1219023916.0
2094939089.0	22700113685.0	2094939089.0	894817785.0
1393239568.0	37992143662.0	1393239568.0	1339663853.0
1749669582.0	34504672071.0	1749669582.0	229499897.0
11924557643.0	133510437922.0	11939523264.0	2697618022.0
3055328173.0	29150539327.0	3055328173.0	1352668157.0
1152294921.0	30082327127.0	1152294921.0	821480097.0
3102505629.0	30920480093.0	3102505629.0	1336627148.0
13001279643.0	117058740510.0	19007690242.0	6234392973.0
5150253111.0	16633515826.0	5150253111.0	2883785150.0
7272407058.0	25090921178.0	7272407058.0	3868434815.0
7348264125.0	19095838508.0	7349304381.0	3168819211.0
21026668952.0	78406266627.0	18104614579.0	17856852211.0
9047292576.0	13107584000.0	9047292576.0	4666986289.0
1547393126.0	20540828937.0	1547393126.0	3381874776.0
3076625165.0	18024754558.0	3076625165.0	802373409.0
14222283251.0	16024969823.0	10634161025.0	4937030424.0
16692163219.0	357628146446.0	23310479464.0	38961511221.0
3085989034.0	91304041420.0	4484738981.0	7185874454.0
11444307056.0	94392905351.0	8156000190.0	10443005565.0
6144720035.0	92430395087.0	7831510575.0	10546938903.0
29474988386.0	377445013363.0	32415946529.0	43436568980.0
6172840057.0	91963526464.0	7908387412.0	11852477699.0
6566192179.0	90280231287.0	8415555089.0	10394009994.0
7976791218.0	86073321431.0	12377495340.0	8701657637.0
25315360534.0	360788750428.0	35580519958.0	42309231903.0
5236948509.0	81814987709.0	7009226445.0	10400855610.0
4809730422.0	83357818601.0	6497108805.0	10969408488.0
20189241082.0	351438925710.0	27151834841.0	40979750900.0
3560838544.0	90053940788.0	5974015015.0	8937752032.0
2018944095.0	81207693486.0	3772931811.0	7951354226.0
885675563.0	80826901173.0	975968958.0	4428507436.0
43621630599.0	343892084610.0	53908706534.0	32020529934.0
3167346196.0	73994164065.0	2336045355.0	3175384871.0
5590258632.0	86209655220.0	9693509703.0	3342995958.0
3839918787.0	84321708681.0	6083944168.0	4793405238.0
13025702736.0	329224740782.0	22683044505.0	21853996547.0
6839953083.0	82570752134.0	9799927571.0	13337575719.0
10381436230.0	93960376694.0	11562118065.0	8620297111.0
799403192.0	93476717032.0	1844021054.0	9566077780.0
22281879937.0	383357144805.0	31144150126.0	53796815200.0
15128919424.0	96786200686.0	16432850214.0	18642739078.0
690654765.0	98396748405.0	840988578.0	9922471181.0
11910249028.0	98038659832.0	9547329056.0	3248932426.0
4415249761.0	389227582838.0	1648315655.0	31895306272.0
3864550839.0	91522947115.0	483465988.0	3165745053.0
7717442020.0	94787817684.0	7657633179.0	4780548875.0
276415139.0	98487963567.0	1176275185.0	8881613402.0
13452219151.0	393518958996.0	2573932228.0	15968826403.0
1658963427.0	97940107471.0	2909322984.0	13032864041.0
2960181721.0	95023681989.0	4186848327.0	375236808.0
4610086482.0	93840481680.0	6493998947.0	4242504255.0
23594327570.0	397276756397.0	31728552764.0	33449462550.0
1567161868529.0		2119843734374.0	2108011826953.0
491781021483.0		662541920487.0	
506716281845.0		674971027259.0	
499150436869.0		674597625989.0	
78016000000.0	2176562000000.0	104902000000.0	106724000000.0
23607000000.0	547704000000.0	37051000000.0	38447000000.0
38617000000.0	602636000000.0	54007000000.0	57033000000.0
32275000000.0	598564000000.0	46293000000.0	51397000000.0
65138000000.0	2311465000000.0	102681000000.0	141013000000.0
14471000000.0	566614000000.0	19109000000.0	17963000000.0
22732000000.0	609157000000.0	30664000000.0	30625000000.0
30918000000.0	635451000000.0	42566000000.0	40149000000.0
67186000000.0	2396290000000.0	89358000000.0	98828000000.0
29078000000.0	602913000000.0	36783000000.0	36038000000.0
44675000000.0	656001000000.0	57985000000.0	58190000000.0
39383000000.0	649434000000.0	48612000000.0	40494000000.0
102512000000.0	2563476000000.0	129310000000.0	138458000000.0
26420000000.0	644454000000.0	32780000000.0	37227000000.0
62044000000.0	2488563000000.0	81022000000.0	79376000000.0
35059000000.0	597306000000.0	42495000000.0	32582000000.0
28127000000.0	579488000000.0	32741000000.0	33716000000.0
43600000000.0	645078000000.0	61696000000.0	63411000000.0
143265000000.0	2471226000000.0	170681000000.0	170336000000.0
86833000000.0	700665000000.0	95167000000.0	83733000000.0
85849000000.0	785248000000.0	114581000000.0	115117000000.0
91025000000.0	821432000000.0	117008000000.0	121797000000.0
274086000000.0	3107313000000.0	344871000000.0	351700000000.0
51190000000.0	822297000000.0	67348000000.0	49503000000.0
38954000000.0	862840000000.0	45418000000.0	50923000000.0
13798000000.0	838036000000.0	18258000000.0	28748000000.0
105849000000.0	3316778000000.0	126664000000.0	132324000000.0
30002000000.0	831670000000.0	38189000000.0	37819000000.0
163320000000.0	799421000000.0	200151000000.0	35026000000.0
227014034818.0	3210853491794.0	266532724548.0	94802726814.0
44202572822.0	871146354566.0	56732359215.0	34730419133.0
39690519138.0	917356667346.0	50504996202.0	55197706504.0
23779681375.0	889189882923.0	32735541615.0	39535701987.0
89491916474.0	3553264096673.0	128099347856.0	127538574846.0
53360071975.0	1907480759547.0	79801800093.0	133987373328.0
22287801977.0	1149745714753.0	36395004748.0	75600904266.0
10141422481.0	500528986541.0	18228776804.0	27602159563.0
8349176600.0	489407863466.0	11838433957.0	27747666918.0
21203441790.0	413376170689.0	27393878450.0	27379572932.0
22230245909.0	509807827610.5	33151871653.0	45778731416.5
12735965796.0	1889910216355.0	39690270282.0	87249748641.0
2649505062.0	420659885865.0	5465826941.0	16724813910.0
9608804226.0	493199189546.0	15956513778.0	26827054354.0
9432024422.0	500057752589.0	15133406080.0	29275636108.0
22272352563.0	1885626108724.0	41998873814.0	90442082687.0
13838091085.0	422971682234.0	14513382778.0	4184476865.0
29219282498.0	524426753209.0	23745196211.0	10586475153.0
25819642484.0	529070651281.0	34778447074.0	49164156327.0
42394951310.0	2035063966997.0	450041238.0	88246563619.0
33376716060.0	533871532626.0	44955421366.0	56137976927.0
34851219799.0	581578794965.0	48715213508.0	54091009764.0
32242730857.0	624256418817.0	46456986999.0	64380149119.0
86628492346.0	2256322945848.0	123603885177.0	198478557062.0
29138299424.0	535072989028.0	47942983399.0	52919507116.0
23688706136.0	565480218493.0	33001397360.0	42625014066.0
13371224770.0	557422077386.0	21574080364.0	44867454287.0
