날짜,국고채(3년)
1995-05-02,0.147
1995-05-03,0.1475
1995-05-04,0.1475
1995-05-08,0.147
1995-05-09,0.147
1995-05-10,0.147
1995-05-11,0.1475
1995-05-12,0.148
1995-05-15,0.1485
1995-05-16,0.1485
1995-05-17,0.1485
1995-05-18,0.1485
1995-05-19,0.1485
1995-05-22,0.1485
1995-05-23,0.1485
1995-05-24,0.1485
1995-05-25,0.149
1995-05-26,0.149
1995-05-29,0.149
1995-05-30,0.149
1995-05-31,0.1485
1995-06-01,0.148
1995-06-02,0.148
1995-06-05,0.146
1995-06-07,0.146
1995-06-08,0.146
1995-06-09,0.1455
1995-06-12,0.144
1995-06-13,0.1445
1995-06-14,0.1455
1995-06-15,0.146
1995-06-16,0.1455
1995-06-19,0.145
1995-06-20,0.1455
1995-06-21,0.1455
1995-06-22,0.146
1995-06-23,0.1455
1995-06-26,0.146
1995-06-28,0.146
1995-06-29,0.146
1995-06-30,0.146
1995-07-03,0.145
1995-07-04,0.1445
1995-07-05,0.144
1995-07-06,0.143
1995-07-07,0.142
1995-07-10,0.143
1995-07-11,0.1425
1995-07-12,0.1415
1995-07-13,0.1405
1995-07-14,0.14
1995-07-18,0.139
1995-07-19,0.138
1995-07-20,0.1384999999999999
1995-07-21,0.14
1995-07-24,0.14
1995-07-25,0.1394999999999999
1995-07-26,0.14
1995-07-27,0.1394999999999999
1995-07-28,0.138
1995-07-31,0.138
1995-08-01,0.138
1995-08-02,0.138
1995-08-03,0.138
1995-08-04,0.1369999999999999
1995-08-07,0.1355
1995-08-08,0.1335
1995-08-09,0.132
1995-08-10,0.1325
1995-08-11,0.132
1995-08-14,0.1315
1995-08-16,0.13
1995-08-17,0.1275
1995-08-18,0.125
1995-08-21,0.1255
1995-08-22,0.1275
1995-08-23,0.129
1995-08-24,0.13
1995-08-25,0.13
1995-08-28,0.13
1995-08-29,0.1295
1995-08-30,0.1295
1995-08-31,0.129
1995-09-01,0.129
1995-09-04,0.128
1995-09-05,0.1275
1995-09-06,0.128
1995-09-07,0.13
1995-09-11,0.129
1995-09-12,0.1295
1995-09-13,0.13
1995-09-14,0.131
1995-09-15,0.1315
1995-09-18,0.1305
1995-09-19,0.1285
1995-09-20,0.1265
1995-09-21,0.1275
1995-09-22,0.127
1995-09-25,0.1265
1995-09-26,0.126
1995-09-27,0.126
1995-09-28,0.1255
1995-09-29,0.126
1995-10-02,0.123
1995-10-04,0.1225
1995-10-05,0.1225
1995-10-06,0.1225
1995-10-09,0.122
1995-10-10,0.121
1995-10-11,0.121
1995-10-12,0.121
1995-10-13,0.121
1995-10-16,0.121
1995-10-17,0.121
1995-10-18,0.121
1995-10-19,0.121
1995-10-20,0.12
1995-10-23,0.12
1995-10-24,0.12
1995-10-25,0.12
1995-10-26,0.12
1995-10-27,0.12
1995-10-30,0.12
1995-10-31,0.12
1995-11-01,0.1195
1995-11-02,0.1195
1995-11-03,0.1195
1995-11-06,0.1195
1995-11-07,0.1195
1995-11-08,0.1195
1995-11-09,0.1195
1995-11-10,0.1195
1995-11-13,0.1195
1995-11-14,0.1195
1995-11-15,0.1195
1995-11-16,0.1195
1995-11-17,0.1195
1995-11-20,0.1195
1995-11-21,0.1195
1995-11-22,0.1195
1995-11-23,0.1195
1995-11-24,0.119
1995-11-27,0.1185
1995-11-28,0.118
1995-11-29,0.118
1995-11-30,0.1175
1995-12-01,0.1159999999999999
1995-12-04,0.1155
1995-12-05,0.1155
1995-12-06,0.1155
1995-12-07,0.1159999999999999
1995-12-08,0.1159999999999999
1995-12-11,0.1159999999999999
1995-12-12,0.1159999999999999
1995-12-13,0.1155
1995-12-14,0.115
1995-12-15,0.115
1995-12-18,0.115
1995-12-19,0.1155
1995-12-20,0.1165
1995-12-21,0.1175
1995-12-22,0.1175
1995-12-26,0.1175
1995-12-27,0.118
1995-12-28,0.1185
1995-12-29,0.118
1996-01-03,0.118
1996-01-04,0.118
1996-01-05,0.1185
1996-01-08,0.118
1996-01-09,0.118
1996-01-10,0.118
1996-01-11,0.118
1996-01-12,0.118
1996-01-15,0.118
1996-01-16,0.119
1996-01-17,0.1195
1996-01-18,0.1205
1996-01-19,0.1205
1996-01-22,0.1205
1996-01-23,0.1205
1996-01-24,0.1205
1996-01-25,0.121
1996-01-26,0.121
1996-01-29,0.121
1996-01-30,0.121
1996-01-31,0.121
1996-02-01,0.121
1996-02-02,0.1205
1996-02-05,0.1205
1996-02-06,0.1205
1996-02-07,0.12
1996-02-08,0.12
1996-02-09,0.12
1996-02-12,0.12
1996-02-13,0.12
1996-02-14,0.12
1996-02-15,0.12
1996-02-16,0.12
1996-02-21,0.12
1996-02-22,0.12
1996-02-23,0.12
1996-02-26,0.12
1996-02-27,0.12
1996-02-28,0.12
1996-02-29,0.12
1996-03-04,0.12
1996-03-05,0.12
1996-03-06,0.12
1996-03-07,0.12
1996-03-08,0.12
1996-03-11,0.12
1996-03-12,0.12
1996-03-13,0.12
1996-03-14,0.12
1996-03-15,0.12
1996-03-18,0.12
1996-03-19,0.12
1996-03-20,0.12
1996-03-21,0.12
1996-03-22,0.1185
1996-03-25,0.1175
1996-03-26,0.1175
1996-03-27,0.1175
1996-03-28,0.1169999999999999
1996-03-29,0.1165
1996-04-01,0.115
1996-04-02,0.115
1996-04-03,0.1144999999999999
1996-04-04,0.1144999999999999
1996-04-08,0.114
1996-04-09,0.114
1996-04-10,0.114
1996-04-12,0.114
1996-04-15,0.111
1996-04-16,0.11
1996-04-17,0.11
1996-04-18,0.11
1996-04-19,0.11
1996-04-22,0.1094999999999999
1996-04-23,0.1085
1996-04-24,0.107
1996-04-25,0.1055
1996-04-26,0.1045
1996-04-29,0.104
1996-04-30,0.104
1996-05-02,0.105
1996-05-03,0.1065
1996-05-06,0.1085
1996-05-07,0.108
1996-05-08,0.1085
1996-05-09,0.1085
1996-05-10,0.108
1996-05-13,0.1085
1996-05-14,0.109
1996-05-15,0.1105
1996-05-16,0.1119999999999999
1996-05-17,0.1119999999999999
1996-05-20,0.1115
1996-05-21,0.1115
1996-05-22,0.1115
1996-05-23,0.111
1996-05-27,0.1119999999999999
1996-05-28,0.1134999999999999
1996-05-29,0.114
1996-05-30,0.1134999999999999
1996-05-31,0.1134999999999999
1996-06-03,0.113
1996-06-04,0.113
1996-06-05,0.1125
1996-06-07,0.1125
1996-06-10,0.1125
1996-06-11,0.1125
1996-06-12,0.1134999999999999
1996-06-13,0.1144999999999999
1996-06-14,0.115
1996-06-17,0.1165
1996-06-18,0.1165
1996-06-19,0.1165
1996-06-20,0.1165
1996-06-21,0.1169999999999999
1996-06-24,0.1175
1996-06-25,0.1175
1996-06-26,0.1175
1996-06-27,0.1175
1996-06-28,0.1169999999999999
1996-07-01,0.1169999999999999
1996-07-02,0.1169999999999999
1996-07-03,0.1169999999999999
1996-07-04,0.1169999999999999
1996-07-05,0.1175
1996-07-08,0.119
1996-07-09,0.119
1996-07-10,0.119
1996-07-11,0.1185
1996-07-12,0.1185
1996-07-15,0.1185
1996-07-16,0.1185
1996-07-18,0.1185
1996-07-19,0.1185
1996-07-22,0.1185
1996-07-23,0.1185
1996-07-24,0.1185
1996-07-25,0.119
1996-07-26,0.1195
1996-07-29,0.1195
1996-07-30,0.1195
1996-07-31,0.12
1996-08-01,0.1205
1996-08-02,0.1205
1996-08-05,0.121
1996-08-06,0.122
1996-08-07,0.122
1996-08-08,0.122
1996-08-09,0.1215
1996-08-12,0.122
1996-08-13,0.122
1996-08-14,0.1225
1996-08-16,0.1225
1996-08-19,0.1235
1996-08-20,0.124
1996-08-21,0.124
1996-08-22,0.124
1996-08-23,0.124
1996-08-26,0.124
1996-08-27,0.124
1996-08-28,0.124
1996-08-29,0.124
1996-08-30,0.123
1996-09-02,0.123
1996-09-03,0.1225
1996-09-04,0.1225
1996-09-05,0.122
1996-09-06,0.122
1996-09-09,0.122
1996-09-10,0.122
1996-09-11,0.122
1996-09-12,0.1215
1996-09-13,0.1215
1996-09-16,0.121
1996-09-17,0.121
1996-09-18,0.121
1996-09-19,0.121
1996-09-20,0.121
1996-09-23,0.1225
1996-09-24,0.1225
1996-09-25,0.1225
1996-09-30,0.1225
1996-10-01,0.1225
1996-10-02,0.1225
1996-10-04,0.1225
1996-10-07,0.1225
1996-10-08,0.1225
1996-10-09,0.1205
1996-10-10,0.12
1996-10-11,0.12
1996-10-14,0.12
1996-10-15,0.12
1996-10-16,0.12
1996-10-17,0.12
1996-10-18,0.12
1996-10-21,0.1195
1996-10-22,0.1205
1996-10-23,0.1205
1996-10-24,0.1205
1996-10-25,0.121
1996-10-28,0.1205
1996-10-29,0.121
1996-10-30,0.121
1996-10-31,0.121
1996-11-01,0.121
1996-11-04,0.121
1996-11-05,0.121
1996-11-06,0.121
1996-11-07,0.121
1996-11-08,0.121
1996-11-11,0.121
1996-11-12,0.121
1996-11-13,0.121
1996-11-14,0.121
1996-11-15,0.121
1996-11-18,0.121
1996-11-19,0.121
1996-11-20,0.121
1996-11-21,0.121
1996-11-22,0.121
1996-11-25,0.122
1996-11-26,0.122
1996-11-27,0.1215
1996-11-28,0.1215
1996-11-29,0.1215
1996-12-02,0.1215
1996-12-03,0.1215
1996-12-04,0.1215
1996-12-05,0.122
1996-12-06,0.122
1996-12-09,0.122
1996-12-10,0.122
1996-12-11,0.122
1996-12-12,0.122
1996-12-13,0.122
1996-12-16,0.122
1996-12-17,0.122
1996-12-18,0.122
1996-12-19,0.122
1996-12-20,0.122
1996-12-23,0.122
1996-12-24,0.122
1996-12-26,0.122
1996-12-27,0.122
1996-12-30,0.122
1996-12-31,0.122
1997-01-03,0.122
1997-01-06,0.122
1997-01-07,0.122
1997-01-08,0.122
1997-01-09,0.122
1997-01-10,0.122
1997-01-13,0.122
1997-01-14,0.122
1997-01-15,0.122
1997-01-16,0.1215
1997-01-17,0.121
1997-01-20,0.121
1997-01-21,0.121
1997-01-22,0.121
