Date,Open,High,Low,Close,Volume,Change
2016-01-04,2118,2118,2077,2078,31049,-0.018885741265344702
2016-01-05,2045,2065,1932,1965,40598,-0.05437921077959573
2016-01-06,1932,2093,1928,1965,39564,0.0
2016-01-07,1880,2093,1880,2062,71694,0.04936386768447831
2016-01-08,2093,2093,2053,2086,19798,0.011639185257032114
2016-01-11,2242,2242,2085,2094,63987,0.003835091083413289
2016-01-12,2134,2134,1932,2094,50901,0.0
2016-01-13,2170,2170,2073,2086,5940,-0.00382043935052534
2016-01-14,2093,2109,2013,2029,14808,-0.02732502396931924
2016-01-15,2061,2093,2017,2021,38001,-0.003942828979793034
2016-01-18,2021,2407,1973,1985,119852,-0.017812963879267674
2016-01-19,2166,2166,1977,1985,31977,0.0
2016-01-20,2069,2073,1985,2017,59569,0.01612090680100753
2016-01-21,2037,2105,1928,1953,257366,-0.03173029251363413
2016-01-22,1952,1973,1916,1969,60979,0.008192524321556593
2016-01-25,2113,2113,1981,2009,46077,0.02031488065007614
2016-01-26,2009,2017,1952,2005,92483,-0.0019910403185664505
2016-01-27,2017,2081,1973,2017,38317,0.0059850374064838174
2016-01-28,2029,2118,2029,2086,29062,0.03420922161626172
2016-01-29,2126,2182,2101,2182,60580,0.0460210930009588
2016-02-01,2214,2238,2101,2174,43876,-0.0036663611365719273
2016-02-02,2109,2242,2109,2150,18293,-0.011039558417663242
2016-02-03,2154,2174,2146,2174,10001,0.01116279069767434
2016-02-04,2170,2190,2142,2178,63284,0.0018399264029438367
2016-02-05,2198,2198,1981,2166,247897,-0.0055096418732781816
2016-02-11,2166,2214,2122,2203,64723,0.017082179132040576
2016-02-12,2190,2303,2166,2303,77971,0.0453926463912846
2016-02-15,2319,2319,2174,2182,60328,-0.05254016500217107
2016-02-16,2198,2238,2097,2098,82957,-0.03849679193400546
2016-02-17,2126,2182,2081,2182,21933,0.04003813155386071
2016-02-18,2174,2182,2093,2182,29752,0.0
2016-02-19,2118,2262,2118,2166,4197,-0.007332722273143855
2016-02-22,2206,2206,2073,2082,124925,-0.03878116343490301
2016-02-23,2130,2130,2069,2110,31359,0.01344860710854956
2016-02-24,2053,2198,2009,2166,52852,0.026540284360189625
2016-02-25,2210,2210,2105,2195,7969,0.013388734995383178
2016-02-26,2226,2271,2182,2255,32153,0.02733485193621865
2016-02-29,2254,2319,2174,2255,123923,0.0
2016-03-02,2250,2250,2158,2170,48450,-0.037694013303769425
2016-03-03,2174,2226,2126,2154,48522,-0.007373271889400956
2016-03-04,2238,2258,2150,2239,40249,0.03946146703806863
2016-03-07,2238,2488,2206,2243,228057,0.001786511835640825
2016-03-08,2166,2174,1940,2078,410774,-0.07356219349086046
2016-03-09,2085,2085,2021,2062,23833,-0.007699711260827691
2016-03-10,2065,2118,2065,2094,57981,0.015518913676042745
2016-03-11,2126,2242,2077,2102,68872,0.0038204393505252288
2016-03-14,2170,2214,2126,2199,27188,0.04614652711703138
2016-03-15,2214,2287,2093,2239,213398,0.01819008640291031
2016-03-16,2109,2174,1944,2029,439418,-0.09379187137114786
2016-03-17,2021,2142,1896,2086,222254,0.028092656481025102
2016-03-18,2021,2077,1944,2062,397446,-0.011505273250239645
2016-03-21,1981,2488,1977,2078,614018,0.007759456838021261
2016-03-22,2053,2105,1965,1965,546352,-0.05437921077959573
2016-03-23,0,0,0,1965,0,0.0
2016-03-24,0,0,0,1965,0,0.0
2016-03-25,0,0,0,1965,0,0.0
2016-03-28,0,0,0,1965,0,0.0
2016-03-29,0,0,0,1965,0,0.0
2016-03-30,0,0,0,1965,0,0.0
2016-03-31,0,0,0,1965,0,0.0
2016-04-01,0,0,0,1965,0,0.0
2016-04-04,0,0,0,1965,0,0.0
2016-04-05,0,0,0,1965,0,0.0
2016-04-06,0,0,0,1965,0,0.0
2016-04-07,0,0,0,1965,0,0.0
2016-04-08,0,0,0,1965,0,0.0
2016-04-11,0,0,0,1965,0,0.0
2016-04-12,0,0,0,1965,0,0.0
2016-04-14,0,0,0,1965,0,0.0
2016-04-15,0,0,0,1965,0,0.0
2016-04-18,0,0,0,1965,0,0.0
2016-04-19,0,0,0,1965,0,0.0
2016-04-20,0,0,0,1965,0,0.0
2016-04-21,0,0,0,1965,0,0.0
2016-04-22,0,0,0,1965,0,0.0
2016-04-25,0,0,0,1965,0,0.0
2016-04-26,0,0,0,1965,0,0.0
2016-04-27,0,0,0,1965,0,0.0
2016-04-28,0,0,0,1965,0,0.0
2016-04-29,0,0,0,1965,0,0.0
2016-05-02,0,0,0,1965,0,0.0
2016-05-03,0,0,0,1965,0,0.0
2016-05-04,0,0,0,1965,0,0.0
2016-05-09,0,0,0,1965,0,0.0
2016-05-10,0,0,0,1965,0,0.0
2016-05-11,0,0,0,1965,0,0.0
2016-05-12,0,0,0,1965,0,0.0
2016-05-13,0,0,0,1965,0,0.0
2016-05-16,0,0,0,1965,0,0.0
2016-05-17,0,0,0,1965,0,0.0
2016-05-18,0,0,0,1965,0,0.0
2016-05-19,0,0,0,1965,0,0.0
2016-05-20,0,0,0,1965,0,0.0
2016-05-23,0,0,0,1965,0,0.0
2016-05-24,0,0,0,1965,0,0.0
2016-05-25,0,0,0,1965,0,0.0
2016-05-26,0,0,0,1965,0,0.0
2016-05-27,1965,1985,1935,1945,736537,-0.010178117048346036
2016-05-30,1950,1960,1930,1935,271870,-0.005141388174807249
2016-05-31,1935,1945,1915,1930,277590,-0.0025839793281653423
2016-06-01,1930,1935,1925,1935,137550,0.002590673575129543
2016-06-02,1930,1935,1920,1930,99393,-0.0025839793281653423
2016-06-03,1930,1930,1905,1920,137702,-0.005181347150259086
2016-06-07,1920,1920,1895,1915,269811,-0.0026041666666666297
2016-06-08,1915,1915,1900,1905,364441,-0.005221932114882533
2016-06-09,1905,1910,1900,1910,111567,0.002624671916010568
2016-06-10,1905,1915,1905,1915,51898,0.002617801047120505
2016-06-13,1920,1930,1915,1925,50755,0.005221932114882533
2016-06-14,1915,1930,1910,1925,50123,0.0
2016-06-15,1930,1935,1920,1935,64148,0.0051948051948051965
2016-06-16,1935,1945,1920,1935,88892,0.0
2016-06-17,1930,1935,1925,1930,59442,-0.0025839793281653423
2016-06-20,1930,1950,1930,1940,120635,0.005181347150259086
2016-06-21,1945,1965,1940,1955,170251,0.0077319587628865705
2016-06-22,1945,1955,1940,1940,49266,-0.007672634271099765
2016-06-23,1940,1955,1930,1945,80102,0.002577319587628857
2016-06-24,1935,1945,1920,1925,90273,-0.010282776349614386
2016-06-27,1925,1945,1925,1940,24587,0.007792207792207684
2016-06-28,1935,1945,1930,1945,30989,0.002577319587628857
2016-06-29,1940,1950,1935,1950,44332,0.0025706940874035134
2016-06-30,1940,1975,1940,1970,67631,0.01025641025641022
2016-07-01,1995,2030,1965,2005,169809,0.017766497461928932
2016-07-04,2005,2005,1975,2005,40741,0.0
2016-07-05,2005,2005,1975,2005,142053,0.0
2016-07-06,2005,2005,1980,1990,22469,-0.007481296758104716
2016-07-07,1980,1995,1965,1995,84978,0.002512562814070307
2016-07-08,1995,2005,1980,2005,26249,0.005012531328320913
2016-07-11,2010,2015,1995,2010,20473,0.0024937655860348684
2016-07-12,2010,2085,2000,2045,168786,0.017412935323383172
2016-07-13,2100,2205,2075,2075,317843,0.014669926650366705
2016-07-14,2105,2145,2015,2080,144154,0.002409638554216942
2016-07-15,2080,2090,2025,2025,53153,-0.02644230769230771
2016-07-18,2025,2030,2000,2020,90264,-0.0024691358024691024
2016-07-19,2000,2035,1995,2025,15114,0.0024752475247524774
2016-07-20,2010,2025,1990,2010,36581,-0.007407407407407418
2016-07-21,2000,2010,1970,2000,38861,-0.00497512437810943
2016-07-22,2000,2000,1980,2000,12478,0.0
2016-07-25,2000,2000,1985,2000,3438,0.0
2016-07-26,1995,2000,1980,1990,20035,-0.0050000000000000044
2016-07-27,1990,1990,1960,1990,8233,0.0
2016-07-28,1980,1990,1970,1985,16441,-0.002512562814070307
2016-07-29,1985,1985,1970,1985,23199,0.0
2016-08-01,1985,1985,1970,1980,22640,-0.0025188916876573986
2016-08-02,1990,1990,1975,1985,8165,0.002525252525252597
2016-08-03,1985,1995,1985,1985,12204,0.0
2016-08-04,1985,1995,1970,1990,47324,0.0025188916876575096
2016-08-05,1970,1990,1970,1980,32770,-0.005025125628140725
2016-08-08,1980,1985,1975,1985,16445,0.002525252525252597
2016-08-09,1985,1995,1965,1990,5664,0.0025188916876575096
2016-08-10,1985,1985,1960,1985,119186,-0.002512562814070307
2016-08-11,1985,1990,1970,1990,35214,0.0025188916876575096
2016-08-12,1985,1990,1985,1990,23297,0.0
2016-08-16,1980,1990,1980,1990,2934,0.0
2016-08-17,1980,1985,1975,1980,12737,-0.005025125628140725
2016-08-18,1970,1985,1970,1980,24067,0.0
2016-08-19,1980,1980,1975,1980,2153,0.0
2016-08-22,1975,1990,1975,1985,21683,0.002525252525252597
2016-08-23,1980,1990,1975,1985,13554,0.0
2016-08-24,1980,1985,1975,1985,13892,0.0
