종목코드,날짜,기간수익률,표준편차,Y3,그룹,성과
000020,2024-09-30,-0.20144025249574699,0.014849921022576781,-0.005096175362571207,G2,-15.440231627433691
000040,2024-09-30,-0.187606083286796,0.027168681529526374,-0.10442086156977079,G1,-7.930162190409666
000050,2024-09-30,0.05258114037885091,0.023011330898780574,0.006188443255810988,G3,1.0749127351963033
000070,2024-09-30,-0.1670232578217741,0.014221003261139368,0.008065615794028104,G3,-13.702916874804014
000080,2024-09-30,-0.03513565959396849,0.014765793583959954,0.03739300877393643,G5,-4.265373681257521
000100,2024-09-30,-0.14649819131727457,0.031787340044516194,0.016344364984538718,G4,-5.484704250656137
000120,2024-09-30,-0.08625066916178152,0.019795500788271705,0.014956794342891924,G4,-5.763766126660263
000140,2024-09-30,-0.023967132418302502,0.011766016288517192,0.03199581125537109,G5,-4.403623018166645
000180,2024-09-30,-0.18830897673229183,0.018469261995707607,0.009190251854343941,G3,-11.70349657308794
000210,2024-09-30,-0.3141507073085144,0.0223227373693956,0.0048754707992862915,G3,-15.320552734689528
000220,2024-09-30,-0.00691204110110041,0.021605418008822506,0.02505653362396189,G4,-1.6087635438871193
000230,2024-09-30,0.0395934768571204,0.03762831398098965,-0.1024982984093275,G1,0.3121986576682637
000240,2024-09-30,0.013650553130463185,0.02856846727600699,0.02789250594451554,G5,-0.4968910118392734
000250,2024-09-30,0.1579854530598694,0.0587158182456796,-0.000799324689790101,G3,2.2164297323321356
000270,2024-09-30,0.021797862738855478,0.021566105275995954,0.04338560753515244,G5,-0.2804449354984743
000300,2024-09-30,,,-0.04745192854863849,G1,
000390,2024-09-30,-0.10214898120804158,0.025076982672948937,0.004308937992291532,G3,-5.183835337981283
000430,2024-09-30,-0.05280039393870099,0.015310999135307075,0.01759990518732481,G4,-5.2672174407394765
000440,2024-09-30,-0.18905644971500501,0.05216676522576252,0.006540568463478541,G3,-4.157865961560971
000480,2024-09-30,-0.0015596801786881963,0.008027746512698426,0.010060834031905816,G3,-3.6630015501995876
000490,2024-09-30,0.09452483397625751,0.04198467198728813,-0.04902004758527478,G1,1.5881716607077618
000500,2024-09-30,0.4498296414590992,0.05801071107809688,0.02342791724638819,G4,7.274237220589633
000520,2024-09-30,-0.13498980869680471,0.045495777641199275,-0.003871635437417739,G2,-3.5791404143685237
000590,2024-09-30,0.0278497935253883,0.01205946313472135,0.01495237434699518,G4,0.0003172432644878064
000640,2024-09-30,-0.049686384827820736,0.023442885831276614,0.025768682416841805,G4,-3.30728704340297
000660,2024-09-30,0.021845599928926526,0.029364194588999176,0.08810473324357534,G5,-0.2043430067466208
000670,2024-09-30,0.1686517481486854,0.04576353887277995,0.004127307779392739,G3,3.076811450228576
000680,2024-09-30,-0.19546133943324584,0.028663285779652208,-0.022626978523728178,G2,-7.79070860514202
000700,2024-09-30,0.049737484105833896,0.007488244189121286,0.009871026073293019,G3,2.9234511870889324
000760,2024-09-30,-0.19476455490629496,0.021253914733890003,-0.0027423862942861444,G3,-10.473859777618816
000850,2024-09-30,-0.09077020260602589,0.01633484860129435,-0.0018052749003039015,G3,-7.261540847006221
000880,2024-09-30,-0.056276086469787115,0.022656200517247944,0.006029886168586891,G3,-3.7129815366738694
000890,2024-09-30,0.1643835306452013,0.05105633037724833,0.0003353047090906406,G3,2.674253356917903
000910,2024-09-30,0.2426214105661314,0.040942442553233066,-0.08926819044455866,G1,5.24578968499367
000950,2024-09-30,-0.04208318892211823,0.017482183696865158,0.014724621745265407,G4,-4.000024131801861
000990,2024-09-30,-0.1650995825276069,0.03167856624225831,0.03627438188891032,G5,-6.09072862685807
001060,2024-09-30,-0.12096350576266748,0.02374681562072256,0.06533554503909068,G5,-6.266502249452974
001070,2024-09-30,-0.10587000001171877,0.016047473897190658,0.0030926312359898524,G3,-8.332524396694183
001120,2024-09-30,-0.0951204829356728,0.01662585420163837,0.03526706913824095,G5,-7.396098220655075
001130,2024-09-30,-0.0943415010900204,0.010744441735492216,0.0149805849858975,G4,-11.372156119413152
001140,2024-09-30,,,-0.13781227593723078,G1,
001210,2024-09-30,0.15593121557293937,0.035631624659699296,-0.3502563616157158,G1,3.594706922692557
001260,2024-09-30,0.36122202927248004,0.07054272242855279,0.012265178892321022,G4,4.725874619712829
