,0
0,126880
1,323280
2,136410
3,035610
4,092730
5,319400
6,382480
7,105840
8,267260
9,094480
10,101530
11,039420
12,148140
13,080010
14,413630
15,203650
16,376290
17,041830
18,214370
19,071200
20,003230
21,123690
22,066670
23,108380
24,378340
25,042700
26,040610
27,194370
28,052330
29,089600
30,453340
31,112040
32,019570
33,272210
34,216050
35,039440
36,115480
37,039860
38,178780
39,069080
40,126700
41,067900
42,100840
43,004250
44,319660
45,205100
46,121440
47,030720
48,051390
49,093920
50,010240
51,101490
52,068270
53,241520
54,088260
55,009680
56,029480
57,091700
58,321260
59,450950
60,010100
61,002810
62,002880
63,000590
64,318000
65,109070
66,078140
67,142210
68,350520
69,402490
70,086710
71,195870
72,085910
73,092460
74,382800
75,113810
76,069260
77,067160
78,094360
79,080470
80,225530
81,035460
82,078520
83,298000
84,192390
85,395400
86,003960
87,093190
88,950190
89,023460
90,075130
91,079550
92,329180
93,253590
94,072990
95,015760
96,043150
97,199800
98,402340
99,240550
100,277810
101,399720
102,082920
103,263690
104,037460
105,090850
106,192820
107,084110
108,472850
109,001060
110,237690
111,347740
112,000300
113,040420
114,000320
115,054930
116,333430
117,025540
118,033130
119,014620
120,018500
121,251970
122,100030
123,452160
124,044990
125,332370
126,001250
127,102260
128,171120
129,027410
130,051360
131,126870
132,073560
133,032940
134,048870
135,214450
136,223250
137,053690
138,141000
139,293940
140,073240
141,048430
142,156100
143,049520
144,099440
145,331920
146,036190
147,357780
148,097870
149,241710
150,256840
151,124500
152,003100
153,071280
154,234690
155,483650
156,083500
157,010120
158,093320
159,272290
160,083650
161,012030
162,049960
163,226320
164,071460
165,123330
166,122450
167,282330
168,208370
169,033560
170,099430
171,337930
172,263860
173,010690
174,085670
175,063440
176,130580
177,016800
178,005380
179,263020
180,009240
181,217500
182,281740
183,037440
184,004800
185,489500
186,214320
187,079900
188,333620
189,318160
190,005180
191,307950
192,102210
193,194700
194,285490
195,035000
196,079370
197,060150
198,114090
199,185750
200,032750
201,263920
202,126730
203,095610
204,034950
205,191420
206,111770
207,007860
208,036460
209,014680
210,153490
211,002790
212,339950
213,039830
214,077360
215,259960
216,241690
217,058430
218,078070
219,031330
220,092230
221,001820
222,413390
223,221980
224,126560
225,064850
226,009300
227,128540
228,003570
229,074600
230,101930
231,075580
232,052790
233,044450
234,003550
235,014940
236,300720
237,005710
238,225570
239,008500
240,190510
241,064510
242,214420
243,480370
244,079960
245,078350
246,105630
247,145270
248,009410
249,336570
250,035900
251,102710
252,052260
253,086980
254,211050
255,025560
256,311320
257,081660
258,005850
259,024800
260,068400
261,138490
262,011200
263,207940
264,014440
265,009900
266,334890
267,008120
268,310200
269,079810
270,160600
271,198080
272,017670
273,278990
274,182360
275,051370
276,046070
277,068790
278,110990
279,101160
280,000990
281,183190
282,400760
283,094840
284,318010
285,012510
286,007820
287,051600
288,396690
289,123040
290,001890
291,053580
292,028050
293,378850
294,950140
295,000240
296,196170
297,019010
298,007660
299,070960
300,296640
301,044480
302,103140
303,059090
304,224110
305,011560
306,016670
307,318410
308,257720
309,071970
310,383800
311,119830
312,045100
313,039030
314,166090
315,263720
316,176750
317,004490
318,019210
319,068930
320,145020
321,215360
322,053700
323,419120
324,123570
325,250000
326,088390
327,095660
328,004140
329,277880
330,029530
331,008110
332,041930
333,042000
334,365550
335,083450
336,307280
337,025770
338,005880
339,028670
340,128940
341,178320
342,021650
343,043710
344,036800
345,030190
346,107640
347,332290
348,900290
349,035150
350,263750
351,080160
352,018120
353,420570
354,084370
355,067770
356,268280
357,112610
358,041920
359,036830
360,017370
361,052300
362,023160
363,047820
364,006730
365,130500
366,080420
367,058970
368,003310
369,002840
370,187790
371,009970
372,131970
373,322310
374,041960
375,003410
376,095340
377,046110
378,054950
379,481070
380,072870
381,018250
382,109860
383,012750
384,000230
385,041520
386,262840
387,258610
388,104830
389,005810
390,065680
391,005430
392,187270
393,020760
394,054940
395,042660
396,123410
397,046310
398,326030
399,032850
400,204610
401,001460
402,434480
403,136510
404,071320
405,217190
406,241560
407,237880
408,035420
409,064350
410,000700
411,065710
412,192400
413,180640
414,232680
415,396470
416,044180
417,100120
418,045660
419,033250
420,051160
421,348950
422,026960
423,451250
424,005610
425,241770
426,064960
427,066620
428,001120
429,035510
430,248070
431,034230
432,238120
433,140860
434,092190
435,218410
436,473980
437,131290
438,108320
439,306200
440,265520
441,900250
442,230360
443,417500
444,214870
445,030520
446,005390
447,203450
448,023150
449,049630
450,053610
451,052690
452,098460
453,094280
454,460930
455,200880
456,145720
457,377740
458,064090
459,024880
460,234080
461,101360
462,042500
463,121800
464,443060
465,049430
466,188040
467,133750
468,192080
469,450330
470,115440
471,458650
472,036120
473,018310
474,204020
475,096760
476,014580
477,001800
478,086450
479,267790
480,099390
481,091340
482,114630
483,299170
484,017800
485,033500
486,214180
487,284740
488,012860
489,214150
490,118000
491,058400
492,033830
493,006890
494,443250
495,215000
496,115310
497,265560
498,226400
499,032190
500,050890
501,092790
502,096240
503,298040
504,018260
505,008370
506,366030
507,000950
508,290650
509,038390
510,025880
511,183300
512,033430
513,173130
514,098120
515,069620
516,079940
517,093520
518,465770
519,215200
520,404990
521,122640
522,019180
523,003800
524,020710
525,069510
526,206640
527,066310
528,031980
529,030000
530,266350
531,204620
532,123700
533,100700
534,161390
535,003240
536,475560
537,376300
538,348210
539,089030
540,408920
541,213420
542,229640
543,170790
544,090460
545,078600
546,026910
547,042370
548,352480
549,269620
550,080520
551,090410
552,900340
553,271560
554,357550
555,272110
556,104460
557,353810
558,201490
559,007610
560,053800
561,025000
562,041460
563,160980
564,010280
565,124560
566,054040
567,136540
568,092130
569,005440
570,003490
571,005930
572,065510
573,066410
574,009540
575,950170
576,024900
577,043370
578,021240
579,036930
580,053300
581,187870
582,297890
583,015230
584,227840
585,097520
586,000270
587,022100
588,138580
589,352090
590,222080
591,058630
592,003090
593,038500
594,103590
595,059210
596,900120
597,083930
598,439090
599,053950
600,009140
601,007700
602,049720
603,033780
604,035250
605,010780
606,264450
607,033920
608,003720
609,412540
610,264850
611,038010
612,021050
613,091590
614,072710
615,236200
616,287410
617,000660
618,060370
619,372170
620,139670
621,025320
622,210540
623,351020
624,004590
625,126720
626,290270
627,014130
628,045390
629,027040
630,036530
631,002170
632,383220
633,035890
634,009450
635,078000
636,082210
637,900110
638,023590
639,004650
640,009780
641,003780
642,060250
643,019540
644,383310
645,196700
646,012330
647,348350
648,031820
649,368770
650,086280
651,003300
652,277070
653,064400
654,005290
655,051310
656,090430
657,007340
658,009470
659,078930
660,362990
661,111110
662,123420
663,340570
664,012450
665,011760
666,021820
667,302550
668,336680
669,049770
